日期,證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"1150226","3002","歐格","760146","16839926","21.40","22.60","21.35","22.30","0.9500","605"
"1150226","3003","健和興","355966","18001641","50.30","50.80","50.30","50.60","0.1000","619"
"1150226","3004","豐達科","902814","99970253","115.00","115.00","108.00","111.50","-5.0000","1458"
"1150226","3005","神基","4510540","510983433","114.00","114.50","112.00","113.00","-1.0000","3417"
"1150226","3006","晶豪科","11071056","1721273680","158.50","159.00","151.50","156.50","-2.5000","8535"
"1150226","3008","大立光","1650676","4120878410","2430.00","2535.00","2410.00","2520.00","105.0000","8561"
"1150226","3010","華立","3039003","396742516","129.50","134.00","127.50","129.50","1.5000","5281"
"1150226","3011","今皓","804167","10468777","13.15","13.25","12.90","12.90","-0.2500","478"
"1150226","3013","晟銘電","2816151","320661716","114.00","115.50","112.00","113.00","0.0000","2250"
"1150226","3014","聯陽","1072633","133006036","126.00","126.00","122.50","123.00","-0.5000","1102"
"1150226","3015","全漢","439348","24215375","54.80","55.60","54.50","55.40","0.7000","343"
"1150226","3016","嘉晶","6353847","396993277","59.70","64.30","59.00","63.00","4.4000","5292"
"1150226","3017","奇鋐","10544482","18338271690","1680.00","1785.00","1665.00","1765.00","90.0000","23134"
"1150226","3018","隆銘綠能","26821","355582","13.40","13.40","13.10","13.10","0.0500","108"
"1150226","3019","亞光","8858800","1358480528","151.00","155.00","151.00","152.00","1.5000","7569"
"1150226","3021","鴻名","114670","2006075","17.25","17.60","17.20","17.55","0.1500","82"
"1150226","3022","威強電","441530","26525969","60.10","60.50","59.60","60.10","0.0000","519"
"1150226","3023","信邦","2124555","515647258","242.50","245.50","240.50","244.00","0.0000","5048"
"1150226","3024","憶聲","757163","7992307","10.50","10.70","10.40","10.50","0.0000","668"
"1150226","3025","星通","1657579","95528067","55.40","59.40","55.10","58.50","3.6000","1651"
"1150226","3026","禾伸堂","1759767","208540594","120.00","120.00","117.50","119.00","-1.0000","2101"
"1150226","3027","盛達","344374","8174562","23.50","23.90","23.40","23.60","-0.1000","334"
"1150226","3028","增你強","27859435","1563906622","56.20","58.60","54.40","55.50","0.7000","18666"
"1150226","3029","零壹","5183338","614746829","114.00","122.50","114.00","121.50","9.0000","5118"
"1150226","3030","德律","10139595","2224147928","206.50","223.50","205.50","223.50","20.0000","10656"
"1150226","3031","佰鴻","446752","9052614","20.30","20.40","20.15","20.25","0.2000","236"
"1150226","3032","偉訓","661298","47713258","72.50","73.00","71.20","72.20","-0.2000","657"
"1150226","3033","威健","4477965","143936974","31.90","32.40","31.70","31.85","0.1000","2770"
"1150226","3034","聯詠","6586764","2575587495","389.00","393.00","387.50","393.00","6.0000","5656"
"1150226","3035","智原","6002639","1024336783","168.50","174.50","168.00","168.00","0.5000","5477"
"1150226","3036","文曄","10466606","1927816452","183.00","189.50","180.00","184.00","1.0000","9607"
"1150226","3037","欣興","85576984","39594012727","458.00","484.50","436.00","481.50","23.0000","81281"
"1150226","3038","全台","238336","5538888","23.20","23.35","23.10","23.25","0.1000","308"
"1150226","3040","遠見","735021","28947989","40.30","40.40","38.50","40.10","0.0000","1394"
"1150226","3041","揚智","1110838","27681965","25.00","25.15","24.75","24.90","-0.1000","977"
"1150226","3042","晶技","2390591","221040200","92.30","93.80","91.80","91.80","-0.3000","3621"
"1150226","3043","科風","143690","3124035","21.90","21.90","21.55","21.80","-0.1500","438"
"1150226","3044","健鼎","4147989","1630169443","401.00","404.50","387.00","389.50","-7.5000","4864"
"1150226","3045","台灣大","12478656","1345644897","108.50","109.00","107.50","107.50","-1.0000","4585"
"1150226","3046","建碁","197834","9721130","49.05","49.30","48.90","49.10","0.5500","500"
"1150226","3047","訊舟","1362279","24104740","17.55","17.85","17.50","17.80","0.2500","725"
"1150226","3048","益登","2388638","95130055","40.10","40.45","38.90","40.35","0.8500","1836"
"1150226","3049","精金","16556860","169341682","9.60","10.40","9.49","10.40","0.9100","5313"
"1150226","3050","鈺德","1028199","13959218","13.85","13.90","13.40","13.70","0.0000","669"
"1150226","3051","力特","619468","14399365","23.35","23.55","22.75","23.15","-0.1500","723"
"1150226","3052","夆典","329089","3821008","11.70","11.70","11.55","11.60","-0.1000","294"
"1150226","3054","立萬利","260798","9897267","37.95","37.95","37.95","37.95","3.4500","165"
"1150226","3055","蔚華科","636027","43963389","67.40","70.50","67.00","69.10","2.0000","582"
"1150226","3056","富華新","1140290","19587131","17.20","17.35","17.05","17.05","-0.1000","1408"
"1150226","3057","喬鼎","127466","2107160","16.45","16.70","16.45","16.55","0.1000","452"
"1150226","3058","立德","1472532","14938311","10.30","10.35","10.00","10.30","0.0000","645"
"1150226","3059","華晶科","1693432","67644025","40.00","40.20","39.75","39.75","0.0000","1413"
"1150226","3060","銘異","5381203","183283627","33.70","34.80","33.30","33.90","0.8000","3319"
"1150226","3062","建漢","3452864","91034331","26.15","26.70","25.80","26.55","0.4500","1981"
"1150226","3090","日電貿","6635557","665727729","102.50","103.00","99.30","99.70","-2.8000","5223"
"1150226","3092","鴻碩","2318695","74407293","31.90","32.15","31.45","32.15","2.9000","964"
"1150226","3094","聯傑","367720","9384277","25.00","25.95","25.00","25.60","0.6000","286"
